,scan,m/z,rt,intensity
3,4,225.1318,3.7306,767.1047
7,8,225.1324,9.147,666.2446
10,11,225.1288,13.2098,615.3881
13,14,225.1309,17.2692,790.7899
16,17,225.1299,21.3384,858.4575
20,21,225.131,26.7489,776.9273
22,23,225.1291,29.4561,690.5222
25,26,225.1237,33.5158,741.5535
28,29,225.1288,37.5794,612.7554
32,33,225.1147,43.0008,745.688
34,35,109.8014,45.7028,646.7036
38,39,225.1264,51.1181,845.2593
41,42,225.1281,55.1777,756.752
43,44,225.1283,57.8865,815.5515
45,46,225.1302,60.594,642.093
47,48,109.8014,63.301,636.8901
49,50,225.1263,66.0088,737.4826
51,52,225.1287,68.7174,749.1717
56,57,225.1306,75.4948,656.1121
76,77,109.801,102.566,583.3167
78,79,225.1208,105.273,611.323
80,81,225.1212,107.986,789.6589
86,87,225.1278,116.104,677.0231
88,89,225.1268,118.817,689.3138
91,92,207.0567,122.872,6683812.0
93,94,209.0722,124.659,5570807.5
97,98,100.0754,128.284,7822354.0
100,101,100.0755,131.019,8770856.0
102,103,100.0756,132.837,9638576.0
104,105,100.0755,134.675,10144793.0
107,108,100.0755,137.403,9919317.0
113,114,100.0756,142.848,8635987.0
117,118,100.0756,146.543,7048005.0
121,122,100.0755,150.287,7557954.5
125,126,100.0756,154.031,6120658.0
128,129,100.0756,156.91,6662745.0
131,132,100.0756,159.78,6984308.0
134,135,100.0755,162.642,6071327.0
136,137,100.0755,164.545,5666797.0
139,140,100.0755,167.469,4980285.5
142,143,100.0755,170.458,5699161.5
144,145,100.0755,172.423,4982884.0
146,147,100.0756,174.444,4915870.0
148,149,100.0756,176.449,4894071.0
151,152,100.0755,179.472,4997810.5
157,158,100.0755,185.498,4490724.5
161,162,100.0756,189.583,3963875.5
163,164,100.0756,191.661,3996393.0
165,166,100.0755,193.726,4004192.75
167,168,100.0755,195.793,3929126.0
169,170,100.0755,197.876,3806023.25
172,173,100.0755,201.04,3863520.0
177,178,100.0755,206.299,3474975.75
186,187,100.0756,215.715,3121767.5
189,190,100.0755,218.936,3515419.25
198,199,100.0756,228.436,3040222.0
202,203,100.0756,232.645,3026229.5
205,206,100.0756,235.798,3188977.0
207,208,100.0755,237.898,3195077.0
209,210,100.0756,239.978,3014565.25
211,212,100.0756,242.079,2974426.25
214,215,100.0756,245.181,2848264.25
217,218,100.0756,248.369,3032550.75
219,220,100.0756,250.485,2998215.0
221,222,100.0755,252.659,3107988.0
224,225,100.0756,255.853,3202314.75
228,229,100.0756,260.13,2782199.75
232,233,100.0755,264.478,2866330.25
234,235,100.0755,266.627,3027143.0
237,238,100.0755,269.812,2878505.0
242,243,100.0756,275.205,2781307.75
247,248,100.0755,280.617,2769482.75
249,250,100.0755,282.752,2751307.25
261,262,100.0756,295.766,2663583.5
281,282,100.0756,317.76,2573786.5
283,284,100.0755,319.946,2744686.25
285,286,100.0756,322.098,2527811.25
287,288,100.0756,324.339,2516206.75
290,291,100.0756,327.627,2496134.5
294,295,100.0756,332.05,2618446.75
296,297,100.0756,334.218,2695759.25
299,300,100.0756,337.44,2860025.5
303,304,100.0756,341.721,2502231.75
308,309,100.0755,347.142,2742680.75
310,311,100.0756,349.243,2746567.25
312,313,100.0755,351.368,2575612.0
314,315,100.0756,353.487,2560282.25
316,317,100.0755,355.636,2830295.0
319,320,100.0755,358.787,2620780.5
323,324,100.0755,362.948,2995672.25
325,326,100.0756,365.037,2677673.0
327,328,100.0755,367.125,2920366.75
331,332,100.0755,371.214,2811903.0
333,334,100.0755,373.244,2810721.5
336,337,100.0755,376.333,2865229.5
340,341,100.0755,380.382,2925125.5
345,346,100.0754,385.419,2857058.0
349,350,100.0756,389.376,2875400.5
351,352,100.0755,391.372,2823744.0
353,354,100.0755,393.362,2948852.25
357,358,100.0755,397.319,2864955.75
360,361,100.0755,400.324,2959915.25
364,365,100.0754,404.337,3133475.25
